4.098304450000000161e-12 1.903976600000000189e-13 1.535529800000000057e-13 1.244101200000000006e-13 1.013781799999999926e-13 8.305643999999999874e-14 6.831207999999999280e-14 5.649668000000000358e-14 4.668125999999999682e-14 3.857771600000000550e-14 3.172503600000000475e-14 2.572274400000000121e-14 2.063214400000000167e-14 1.611597999999999963e-14 1.225096000000000058e-14
1.903976600000000189e-13 2.602874520000000141e-12 1.467334400000000085e-13 1.171424599999999799e-13 9.476466000000001133e-14 7.744002000000000519e-14 6.368883999999999855e-14 5.270160000000000108e-14 4.360090000000000054e-14 3.606519399999999871e-14 2.967408599999999772e-14 2.408221199999999934e-14 1.931871199999999836e-14 1.509675199999999789e-14 1.148040799999999949e-14
1.535529800000000057e-13 1.467334400000000085e-13 1.655655409999999890e-12 1.132350199999999930e-13 8.980187999999999580e-14 7.276215999999999982e-14 5.967365999999999708e-14 4.935279000000000180e-14 4.086877599999999977e-14 3.383305799999999797e-14 2.784780599999999992e-14 2.261700199999999935e-14 1.814044800000000032e-14 1.417858999999999912e-14 1.078214600000000100e-14
1.244101200000000006e-13 1.171424599999999799e-13 1.132350199999999930e-13 1.055275810000000007e-12 8.788204000000001152e-14 6.943888000000000472e-14 5.640325599999999893e-14 4.650041199999999905e-14 3.850239999999999707e-14 3.188597600000000219e-14 2.624846200000000097e-14 2.132989599999999890e-14 1.710075600000000055e-14 1.336512600000000102e-14 1.015989800000000044e-14
1.013781799999999926e-13 9.476466000000001133e-14 8.980187999999999580e-14 8.788204000000001152e-14 6.745023299999999755e-13 6.880596000000000704e-14 5.424536399999999767e-14 4.427587399999999982e-14 3.655754399999999812e-14 3.025060000000000289e-14 2.489453000000000025e-14 2.023488800000000286e-14 1.621124600000000081e-14 1.266584400000000158e-14 9.621355999999999746e-15
8.305643999999999874e-14 7.744002000000000519e-14 7.276215999999999982e-14 6.943888000000000472e-14 6.880596000000000704e-14 4.327084279999999862e-13 5.435087199999999764e-14 4.291437599999999815e-14 3.508189400000000026e-14 2.892841600000000389e-14 2.377901200000000183e-14 1.932375399999999936e-14 1.546550600000000065e-14 1.207629799999999979e-14 9.164146000000000350e-15
6.831207999999999280e-14 6.368883999999999855e-14 5.967365999999999708e-14 5.640325599999999893e-14 5.424536399999999767e-14 5.435087199999999764e-14 2.789051830000000103e-13 4.337529600000000170e-14 3.422182799999999738e-14 2.793848799999999969e-14 2.289314799999999884e-14 1.858173799999999768e-14 1.485060200000000000e-14 1.158658999999999960e-14 8.781608399999999030e-15
5.649668000000000358e-14 5.270160000000000108e-14 4.935279000000000180e-14 4.650041199999999905e-14 4.427587399999999982e-14 4.291437599999999815e-14 4.337529600000000170e-14 1.808749090000000093e-13 3.482327600000000044e-14 2.743607600000000063e-14 2.228288199999999935e-14 1.802560000000000008e-14 1.437481600000000027e-14 1.120142200000000013e-14 8.476872400000000383e-15
4.668125999999999682e-14 4.360090000000000054e-14 4.086877599999999977e-14 3.850239999999999707e-14 3.655754399999999812e-14 3.508189400000000026e-14 3.422182799999999738e-14 3.482327600000000044e-14 1.181125280000000130e-13 2.803810200000000060e-14 2.199906800000000148e-14 1.764299599999999809e-14 1.401823999999999959e-14 1.090222080000000053e-14 8.235020800000000104e-15
3.857771600000000550e-14 3.606519399999999871e-14 3.383305799999999797e-14 3.188597600000000219e-14 3.025060000000000289e-14 2.892841600000000389e-14 2.793848799999999969e-14 2.743607600000000063e-14 2.803810200000000060e-14 7.777519599999999177e-14 2.256932799999999983e-14 1.751765400000000025e-14 1.381106320000000103e-14 1.070351380000000115e-14 8.063307600000000104e-15
3.172503600000000475e-14 2.967408599999999772e-14 2.784780599999999992e-14 2.624846200000000097e-14 2.489453000000000025e-14 2.377901200000000183e-14 2.289314799999999884e-14 2.228288199999999935e-14 2.199906800000000148e-14 2.256932799999999983e-14 5.166758400000000176e-14 1.804581980000000106e-14 1.380685060000000059e-14 1.061998519999999932e-14 7.966284999999999639e-15
2.572274400000000121e-14 2.408221199999999934e-14 2.261700199999999935e-14 2.132989599999999890e-14 2.023488800000000286e-14 1.932375399999999936e-14 1.858173799999999768e-14 1.802560000000000008e-14 1.764299599999999809e-14 1.751765400000000025e-14 1.804581980000000106e-14 3.462828179999999998e-14 1.430556399999999818e-14 1.069649479999999952e-14 7.960815199999999930e-15
2.063214400000000167e-14 1.931871199999999836e-14 1.814044800000000032e-14 1.710075600000000055e-14 1.621124600000000081e-14 1.546550600000000065e-14 1.485060200000000000e-14 1.437481600000000027e-14 1.401823999999999959e-14 1.381106320000000103e-14 1.380685060000000059e-14 1.430556399999999818e-14 2.341917429999999989e-14 1.118885620000000004e-14 8.108201400000000037e-15
1.611597999999999963e-14 1.509675199999999789e-14 1.417858999999999912e-14 1.336512600000000102e-14 1.266584400000000158e-14 1.207629799999999979e-14 1.158658999999999960e-14 1.120142200000000013e-14 1.090222080000000053e-14 1.070351380000000115e-14 1.061998519999999932e-14 1.069649479999999952e-14 1.118885620000000004e-14 1.595402390000000211e-14 8.602672400000000968e-15
1.225096000000000058e-14 1.148040799999999949e-14 1.078214600000000100e-14 1.015989800000000044e-14 9.621355999999999746e-15 9.164146000000000350e-15 8.781608399999999030e-15 8.476872400000000383e-15 8.235020800000000104e-15 8.063307600000000104e-15 7.966284999999999639e-15 7.960815199999999930e-15 8.108201400000000037e-15 8.602672400000000968e-15 1.093544320000000027e-14
